national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,gigantamax,mega_evolution,mega_evolution_alt,description,image_path
11,I,metapod,Transel,bug,,Cocoon Pokémon,50.2,49.8,0.7,9.9,120,3840,50,20,55,25,25,30,Shed Skin,,,,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Caterpie,Level ,Metapod,Level ,Butterfree,,,,,,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",pokemon_images/Metapod.jpg
12,I,butterfree,Butterfree,bug,flying,Butterfly Pokémon,50.2,49.8,1.1,32.0,45,3840,60,45,50,90,80,70,Compoundeyes,,,Tinted Lens,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Caterpie,Level ,Metapod,Level ,Butterfree,,,Gigantamax Butterfree,,,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",pokemon_images/Butterfree.jpg
13,I,weedle,Beedle,bug,poison,Hairy Pokémon,50,50,0.3,3.2,255,3840,40,35,30,20,20,50,Shield Dust,,,Run Away,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Weedle,Level ,Kakuna,Level ,Beedrill,,,,,,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,pokemon_images/Weedle.jpg
14,I,kakuna,Cocoon,bug,poison,Cocoon Pokémon,50,50,0.6,10.0,120,3840,45,25,50,25,25,35,Shed Skin,,,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Weedle,Level ,Kakuna,Level ,Beedrill,,,,,,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",pokemon_images/Kakuna.jpg
15,I,beedrill,Spear,bug,poison,Poison Bee Pokémon,50,50,1.0,29.5,45,3840,65,90,40,45,80,75,Swarm,,,Sniper,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Weedle,Level ,Kakuna,Level ,Beedrill,,,,Mega Beedrill,,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,pokemon_images/Beedrill.jpg
16,I,pidgey,Poppo,normal,flying,Tiny Bird Pokémon,50,50,0.3,1.8,255,3840,40,45,40,35,35,56,Keen Eye,Tangled Feet,,Big Pecks,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,,,,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",pokemon_images/Pidgey.jpg
17,I,pidgeotto,Pigeon,normal,flying,Bird Pokémon,50,50,1.1,30.0,120,3840,63,60,55,50,50,71,Keen Eye,Tangled Feet,,Big Pecks,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,,,,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,pokemon_images/Pidgeotto.jpg
18,I,pidgeot,Pigeot,normal,flying,Bird Pokémon,50,50,1.5,39.5,45,3840,83,80,75,70,70,101,Keen Eye,Tangled Feet,,Big Pecks,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,,Mega Pidgeot,,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",pokemon_images/Pidgeot.jpg
19,I,rattata,Koratta,normal,dark,Mouse Pokémon,50,50,0.3,3.5,255,3840,30,56,35,25,35,72,Run Away,Guts,,Hustle,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Rattata,Level,Raticate,,,,,,,,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",pokemon_images/Rattata.jpg
20,I,raticate,Ratta,normal,dark,Mouse Pokémon,50,50,0.7,18.5,127,3840,55,81,60,50,70,97,Run Away,Guts,,Hustle,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Rattata,Level,Raticate,,,,,,,,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",pokemon_images/Raticate.jpg
21,I,spearow,Onisuzume,normal,flying,Tiny Bird Pokémon,50,50,0.3,2.0,255,3840,40,60,30,31,31,70,Keen Eye,,,Sniper,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Spearow,Level ,Fearow,,,,,,,,"Inept at flying high. However, it can fly around very fast to protect its territory.",pokemon_images/Spearow.jpg
22,I,fearow,Onidrill,normal,flying,Beak Pokémon,50,50,1.2,38.0,90,3840,65,90,65,61,61,100,Keen Eye,,,Sniper,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Spearow,Level ,Fearow,,,,,,,,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",pokemon_images/Fearow.jpg
23,I,ekans,Arbo,poison,,Snake Pokémon,50,50,2.0,6.9,255,5120,35,60,44,40,54,55,Intimidate,Shed Skin,,Unnerve,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Ekans,Level ,Arbok,,,,,,,,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",pokemon_images/Ekans.jpg
24,I,arbok,Arbok,poison,,Cobra Pokémon,50,50,3.5,65.0,90,5120,60,95,69,65,79,80,Intimidate,Shed Skin,,Unnerve,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Ekans,Level ,Arbok,,,,,,,,The frightening patterns on its belly have been studied. Six variations have been confirmed.,pokemon_images/Arbok.jpg
25,I,pikachu,Pikachu,electric,,Mouse Pokémon,50.2,49.8,0.4,6.0,190,2560,35,55,40,50,50,90,Static,,,Lightning Rod,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Pichu,Level Up with Happiness Value at 220,Pikachu,Use Thunder Stone,Raichu,,,Gigantamax Pikachu,,,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.,pokemon_images/Pikachu.jpg
26,I,raichu,Raichu,electric,electric,Mouse Pokémon,50.2,49.8,0.8,30.0,75,2560,60,90,55,90,80,110,Static,Surge Surfer (Alola Form),,Lightning Rod,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Pichu,Level Up with Happiness Value at 220,Pikachu,Use Thunder Stone,Raichu,,,,,,Its long tail serves as a ground to protect itself from its own high-voltage power.,pokemon_images/Raichu.jpg
27,I,sandshrew,Sand,ground,ice,Mouse Pokémon,50.2,49.8,0.6,12.0,255,5120,50,75,85,20,30,40,Sand Veil,,,Snow Cloak- Slush Rush,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,Sandshrew,Level,Sandslash,,,,,,,,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.",pokemon_images/Sandshrew.jpg
28,I,sandslash,Sandpan,ground,ice,Mouse Pokémon,50.2,49.8,1.0,29.5,90,5120,75,100,110,45,55,65,Sand Veil,,,Snow Cloak- Slush Rush,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,Sandshrew,Level,Sandslash,,,,,,,,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.",pokemon_images/Sandslash.jpg
29,I,nidoran♀,Nidoran♀,poison,,Poison Pin Pokémon,0,100,0.4,7.0,235,5120,55,47,52,40,40,41,Poison Point,Rivalry,,Hustle,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Egg,When Female,Nidoran♀,Level 16,Nidorina,Use Moonstone,Nidoqueen,,,,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators.",pokemon_images/Nidoran♀.jpg
30,I,nidorina,Nidorina,poison,,Poison Pin Pokémon,0,100,0.8,20.0,120,5120,70,62,67,55,55,56,Poison Point,Rivalry,,Hustle,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Egg,When Female,Nidoran♀,Level 16,Nidorina,Use Moonstone,Nidoqueen,,,,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,pokemon_images/Nidorina.jpg
31,I,nidoqueen,Nidoqueen,poison,ground,Drill Pokémon,0,100,1.3,60.0,45,5120,90,92,87,75,85,76,Poison Point,Rivalry,,Sheer Force,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0,0,0,Egg,When Female,Nidoran♀,Level 16,Nidorina,Use Moonstone,Nidoqueen,,,,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",pokemon_images/Nidoqueen.jpg
32,I,nidoran♂,Nidoran♂,poison,,Poison Pin Pokémon,100,0,0.5,9.0,235,5120,46,57,40,40,40,50,Poison Point,Rivalry,,Hustle,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Egg,When Male,Nidoran♂,Level 16,Nidorino,Use Moonstone,Nidoking,,,,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears.",pokemon_images/Nidoran♂.jpg
33,I,nidorino,Nidorino,poison,,Poison Pin Pokémon,100,0,0.9,19.5,120,5120,61,72,57,55,55,65,Poison Point,Rivalry,,Hustle,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Egg,When Male,Nidoran♂,Level 16,Nidorino,Use Moonstone,Nidoking,,,,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.",pokemon_images/Nidorino.jpg
34,I,nidoking,Nidoking,poison,ground,Drill Pokémon,100,0,1.4,62.0,45,5120,81,102,77,85,75,85,Poison Point,Rivalry,,Sheer Force,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0,0,0,Egg,When Male,Nidoran♂,Level 16,Nidorino,Use Moonstone,Nidoking,,,,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.",pokemon_images/Nidoking.jpg
35,I,clefairy,Pippi,fairy,,Fairy Pokémon,24.9,75.1,0.6,7.5,150,2560,70,45,48,60,65,35,Cute Charm,Magic Guard,,Friend Guard,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,0,0,Cleffa,Level Up with Happiness Value at 220,Clefairy,Use Moon Stone,Clefable,,,,,,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,pokemon_images/Clefairy.jpg
36,I,clefable,Pixy,fairy,,Fairy Pokémon,24.9,75.1,1.3,40.0,25,2560,95,70,73,95,90,60,Cute Charm,Magic Guard,,Unaware,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,0,0,Cleffa,Level Up with Happiness Value at 220,Clefairy,Use Moon Stone,Clefable,,,,,,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.",pokemon_images/Clefable.jpg
37,I,vulpix,Rokon,fire,ice,Fox Pokémon,24.9,75.1,0.6,9.9,190,5120,38,41,40,50,65,65,Flash Fire,,,Snow Cloak- Snow Warning,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Vulpix,Use Fire Stone,Ninetales,,,,,,,,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.",pokemon_images/Vulpix.jpg
38,I,ninetales,Kyukon,fire,ice,Fox Pokémon,24.9,75.1,1.1,19.9,75,5120,73,76,75,81,100,100,Flash Fire,,,Snow Cloak- Snow Warning,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Vulpix,Use Fire Stone,Ninetales,,,,,,,,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.",pokemon_images/Ninetales.jpg
39,I,jigglypuff,Purin,normal,fairy,Balloon Pokémon,24.9,75.1,0.5,5.5,170,2560,115,45,20,45,25,20,Cute Charm,Competitive,,Friend Guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0,0,0,Igglybuff,Level Up with Happiness Value at 220,Jigglypuff,Use Moon Stone,Wigglytuff,,,,,,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep.",pokemon_images/Jigglypuff.jpg
40,I,wigglytuff,Pukurin,normal,fairy,Balloon Pokémon,24.9,75.1,1.0,12.0,50,2560,140,70,45,85,50,45,Cute Charm,Competitive,,Frisk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0,0,0,Igglybuff,Level Up with Happiness Value at 220,Jigglypuff,Use Moon Stone,Wigglytuff,,,,,,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them.",pokemon_images/Wigglytuff.jpg
41,I,zubat,Zubat,poison,flying,Bat Pokémon,50.2,49.8,0.8,7.5,255,3840,40,45,35,30,40,55,Inner Focus,,,Infiltrator,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Zubat,Level ,Golbat,Level Up with Happiness Value at 220,Crobat,,,,,,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.",pokemon_images/Zubat.jpg
42,I,golbat,Golbat,poison,flying,Bat Pokémon,50.2,49.8,1.6,55.0,90,3840,75,80,70,65,75,90,Inner Focus,,,Infiltrator,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Zubat,Level ,Golbat,Level Up with Happiness Value at 220,Crobat,,,,,,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.",pokemon_images/Golbat.jpg
43,I,oddish,Nazonokusa,grass,poison,Weed Pokémon,50.2,49.8,0.5,5.4,255,5120,45,50,55,75,65,30,Chlorophyll,,,Run Away,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Oddish,Level,Gloom,Use Leaf Stone,Vileplume,Use Sun Stone,Bellossom,,,,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",pokemon_images/Oddish.jpg
44,I,gloom,Kusaihana,grass,poison,Weed Pokémon,50.2,49.8,0.8,8.6,120,5120,60,65,70,85,75,40,Chlorophyll,,,Stench,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Oddish,Level,Gloom,Use Leaf Stone,Vileplume,Use Sun Stone,Bellossom,,,,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,pokemon_images/Gloom.jpg
45,I,vileplume,Ruffresia,grass,poison,Flower Pokémon,50.2,49.8,1.2,18.6,45,5120,75,80,85,110,90,50,Chlorophyll,,,Effect Spore,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Oddish,Level,Gloom,Use Leaf Stone,Vileplume,,,,,,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",pokemon_images/Vileplume.jpg
46,I,paras,Paras,bug,grass,Mushroom Pokémon,50,50,0.3,5.4,190,5120,35,70,55,45,55,25,Effect Spore,Dry Skin,,Damp,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Paras,Level ,Parasect,,,,,,,,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,pokemon_images/Paras.jpg
47,I,parasect,Parasect,bug,grass,Mushroom Pokémon,50,50,1.0,29.5,75,5120,60,95,80,60,80,30,Effect Spore,Dry Skin,,Damp,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Paras,Level ,Parasect,,,,,,,,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,pokemon_images/Parasect.jpg
48,I,venonat,Kongpang,bug,poison,Insect Pokémon,50,50,1.0,30.0,190,5120,60,55,50,40,55,45,Compound Eyes,Tinted Lens,,Run Away,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Venonat,Level ,Venomoth,,,,,,,,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.",pokemon_images/Venonat.jpg
49,I,venomoth,Morphon,bug,poison,Poison Moth Pokémon,50,50,1.5,12.5,75,5120,70,65,60,90,75,90,Shield Dust,Tinted Lens,,Wonder Skin,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Venonat,Level ,Venomoth,,,,,,,,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,pokemon_images/Venomoth.jpg
50,I,diglett,Digda,ground,ground,Mole Pokémon,50.2,49.8,0.2,0.8,255,5120,10,55,25,35,45,95,Sand Veil,Arena Trap,,Sand Force,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,Diglett,Level,Dugtrio,,,,,,,,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops.",pokemon_images/Diglett.jpg
51,I,dugtrio,Dugtrio,ground,ground,Mole Pokémon,50.2,49.8,0.7,33.3,50,5120,35,100,50,50,70,120,Sand Veil,Arena Trap,,Sand Force,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,Diglett,Level,Dugtrio,,,,,,,,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.,pokemon_images/Dugtrio.jpg
52,I,meowth,Nyarth,normal,dark,Scratch Cat Pokémon,50.2,49.8,0.4,4.2,255,5120,40,45,35,40,40,90,Pickup,Technician,,Unnerve,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Meowth,Level,Persian,,,,,Gigantamax Meowth,,,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures.",pokemon_images/Meowth.jpg
53,I,persian,Persian,normal,dark,Classy Cat Pokémon,50.2,49.8,1.0,32.0,90,5120,65,70,60,65,65,115,Limber,Technician,,Unnerve,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Meowth,Level,Persian,,,,,,,,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed.",pokemon_images/Persian.jpg
54,I,psyduck,Koduck,water,,Duck Pokémon,50.2,49.8,0.8,19.6,190,5120,50,52,48,65,50,55,Damp,Cloud Nine,,Swift Swim,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Psyduck,Level ,Golduck,,,,,,,,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while.",pokemon_images/Psyduck.jpg
